customer_id,month,category,payment_type,spend
ATQCUS1392,October,Entertainment,UPI,297
ATQCUS0274,May,Travel,Credit Card,960
ATQCUS0996,June,Travel,Credit Card,1090
ATQCUS0016,June,Groceries,Net Banking,117
ATQCUS2776,July,Bills,Credit Card,749
ATQCUS2694,May,Bills,Debit Card,552
ATQCUS2426,August,Electronics,Debit Card,253
ATQCUS0693,August,Travel,Net Banking,157
ATQCUS2100,September,Travel,Debit Card,1354
ATQCUS1765,May,Groceries,Debit Card,481
ATQCUS1148,September,Electronics,Debit Card,2068
ATQCUS2619,May,Health & Wellness,UPI,1690
ATQCUS2999,August,Bills,UPI,716
ATQCUS0956,October,Food,Net Banking,189
ATQCUS2048,July,Others,Debit Card,66
ATQCUS1993,May,Food,UPI,203
ATQCUS3200,July,Apparel,UPI,582
ATQCUS2712,October,Groceries,UPI,492
ATQCUS3193,October,Groceries,Net Banking,93
ATQCUS0205,October,Others,Net Banking,60
ATQCUS3493,June,Travel,Net Banking,137
ATQCUS1729,August,Travel,Credit Card,1237
ATQCUS1278,June,Apparel,Debit Card,209
ATQCUS3345,August,Food,Credit Card,306
ATQCUS2888,May,Entertainment,UPI,172
ATQCUS1372,June,Food,Credit Card,658
ATQCUS3342,May,Food,Net Banking,113
ATQCUS1704,August,Health & Wellness,Net Banking,863
ATQCUS1090,October,Travel,UPI,752
ATQCUS0039,July,Electronics,Debit Card,522
ATQCUS3902,July,Entertainment,Net Banking,194
ATQCUS0702,October,Travel,Net Banking,213
ATQCUS3731,July,Electronics,UPI,541
ATQCUS1609,August,Entertainment,UPI,228
ATQCUS2053,May,Health & Wellness,Credit Card,350
ATQCUS1865,July,Apparel,UPI,171
ATQCUS3568,September,Groceries,Debit Card,1176
ATQCUS2218,June,Electronics,UPI,916
ATQCUS1190,July,Bills,Net Banking,433
ATQCUS0114,September,Apparel,UPI,421
ATQCUS1666,August,Electronics,UPI,1121
ATQCUS0579,August,Others,Debit Card,122
ATQCUS0639,June,Groceries,Net Banking,358
ATQCUS2819,July,Apparel,Net Banking,138
ATQCUS3409,August,Food,Credit Card,714
ATQCUS1654,September,Groceries,UPI,2282
ATQCUS0037,June,Bills,UPI,143
ATQCUS2773,May,Apparel,Debit Card,399
ATQCUS2692,July,Food,Net Banking,165
ATQCUS1834,July,Bills,Credit Card,1305
ATQCUS1027,June,Travel,UPI,620
ATQCUS2447,August,Groceries,Net Banking,84
ATQCUS0489,September,Bills,Debit Card,3220
ATQCUS0471,June,Food,Net Banking,234
ATQCUS2461,September,Entertainment,UPI,482
ATQCUS0775,June,Food,Credit Card,1076
ATQCUS2925,September,Food,Credit Card,420
ATQCUS0257,June,Entertainment,UPI,386
ATQCUS1487,August,Groceries,Credit Card,776
ATQCUS1640,September,Entertainment,Net Banking,138
ATQCUS2767,October,Travel,Debit Card,392
ATQCUS1287,August,Bills,UPI,2240
ATQCUS0611,October,Bills,Net Banking,463
ATQCUS0672,May,Apparel,UPI,77
ATQCUS1021,August,Groceries,Debit Card,1517
ATQCUS2541,September,Food,Credit Card,1388
ATQCUS1852,June,Electronics,UPI,392
ATQCUS1873,July,Travel,Credit Card,650
ATQCUS2309,September,Apparel,UPI,388
ATQCUS2392,July,Travel,Debit Card,217
ATQCUS3941,June,Travel,Net Banking,83
ATQCUS1029,July,Groceries,UPI,1185
ATQCUS0025,July,Travel,UPI,780
ATQCUS1602,August,Others,Credit Card,157
ATQCUS3957,July,Others,UPI,98
ATQCUS1384,August,Entertainment,Net Banking,64
ATQCUS1048,October,Travel,Net Banking,184
ATQCUS0759,May,Bills,Debit Card,1213
ATQCUS2303,June,Food,UPI,194
ATQCUS3681,September,Health & Wellness,Credit Card,2442
ATQCUS0946,June,Others,Net Banking,57
ATQCUS3352,July,Apparel,Net Banking,116
ATQCUS0127,September,Travel,Debit Card,180
ATQCUS2684,June,Others,UPI,113
ATQCUS2637,July,Food,UPI,989
ATQCUS0792,September,Travel,UPI,1292
ATQCUS1662,June,Electronics,UPI,1013
ATQCUS1025,June,Entertainment,Net Banking,115
ATQCUS2982,September,Groceries,Credit Card,3163
ATQCUS1133,October,Travel,Net Banking,145
ATQCUS3764,July,Electronics,Debit Card,330
ATQCUS3865,June,Others,UPI,191
ATQCUS0283,July,Entertainment,Net Banking,291
ATQCUS1231,July,Electronics,Debit Card,195
ATQCUS0453,May,Groceries,Debit Card,696
ATQCUS2351,May,Health & Wellness,UPI,692
ATQCUS1355,May,Travel,Credit Card,1071
ATQCUS3467,May,Food,UPI,293
ATQCUS2562,September,Groceries,Credit Card,1950
ATQCUS1764,May,Electronics,Credit Card,1317
ATQCUS1694,August,Groceries,Credit Card,2082
ATQCUS2003,August,Groceries,Net Banking,633
ATQCUS2478,September,Health & Wellness,Debit Card,948
ATQCUS2697,May,Others,UPI,147
ATQCUS2949,October,Travel,Debit Card,265
ATQCUS3509,May,Electronics,UPI,463
ATQCUS2768,October,Bills,Net Banking,279
ATQCUS2880,June,Electronics,Net Banking,103
ATQCUS2231,June,Groceries,Credit Card,2719
ATQCUS1224,September,Apparel,Debit Card,436
ATQCUS3916,September,Entertainment,UPI,98
ATQCUS0674,June,Groceries,Debit Card,456
ATQCUS1936,May,Apparel,Debit Card,223
ATQCUS3849,August,Food,Debit Card,597
ATQCUS1885,July,Others,Debit Card,130
ATQCUS3540,May,Bills,UPI,498
ATQCUS2664,September,Bills,UPI,1043
ATQCUS3917,October,Electronics,Credit Card,657
ATQCUS2611,October,Apparel,Net Banking,110
ATQCUS1881,June,Apparel,Debit Card,199
ATQCUS3480,August,Apparel,Credit Card,818
ATQCUS0731,June,Travel,UPI,1211
ATQCUS2385,June,Health & Wellness,Debit Card,712
ATQCUS0615,September,Bills,UPI,1757
ATQCUS2411,June,Food,Credit Card,682
ATQCUS3405,August,Others,UPI,69
ATQCUS0423,May,Groceries,Debit Card,994
ATQCUS2607,May,Apparel,Net Banking,21
ATQCUS3811,August,Health & Wellness,UPI,808
ATQCUS2690,July,Groceries,Credit Card,2474
ATQCUS1271,July,Apparel,Net Banking,563
ATQCUS1192,September,Entertainment,Net Banking,58
ATQCUS0494,October,Bills,Debit Card,200
ATQCUS2798,June,Groceries,Credit Card,1071
ATQCUS2954,October,Health & Wellness,Credit Card,2734
ATQCUS2589,May,Entertainment,Credit Card,304
ATQCUS2516,October,Health & Wellness,Net Banking,258
ATQCUS0118,May,Electronics,Credit Card,509
ATQCUS3545,September,Others,Debit Card,324
ATQCUS0884,June,Groceries,UPI,1030
ATQCUS0879,September,Apparel,UPI,140
ATQCUS1442,August,Food,Net Banking,105
ATQCUS2224,September,Health & Wellness,Credit Card,4128
ATQCUS0728,June,Travel,Credit Card,498
ATQCUS1974,October,Apparel,Net Banking,68
ATQCUS3034,May,Others,UPI,125
ATQCUS2335,September,Apparel,Net Banking,74
ATQCUS1203,May,Entertainment,UPI,1065
ATQCUS0774,May,Food,Credit Card,341
ATQCUS1345,July,Bills,Credit Card,1616
ATQCUS0538,October,Health & Wellness,Debit Card,124
ATQCUS2974,August,Travel,Debit Card,705
ATQCUS2192,September,Travel,Credit Card,1313
ATQCUS3691,May,Others,Credit Card,86
ATQCUS1420,September,Travel,Net Banking,473
ATQCUS1445,July,Others,Credit Card,240
ATQCUS1474,September,Apparel,Net Banking,186
ATQCUS1382,August,Food,UPI,310
ATQCUS2073,September,Bills,Debit Card,1967
ATQCUS3844,October,Health & Wellness,Debit Card,612
ATQCUS0057,September,Groceries,Debit Card,1634
ATQCUS2793,July,Apparel,Credit Card,1090
ATQCUS0286,October,Health & Wellness,Credit Card,3268
ATQCUS2803,June,Food,UPI,490
ATQCUS3063,July,Others,Net Banking,47
ATQCUS0160,October,Food,Credit Card,539
ATQCUS0367,June,Electronics,Debit Card,519
ATQCUS2790,June,Groceries,UPI,1122
ATQCUS0043,June,Entertainment,Credit Card,828
ATQCUS3546,August,Apparel,UPI,1708
ATQCUS0385,October,Entertainment,Debit Card,768
ATQCUS3666,May,Others,Net Banking,78
ATQCUS1874,October,Others,Credit Card,132
ATQCUS1211,October,Travel,Net Banking,232
ATQCUS1424,June,Health & Wellness,Credit Card,1351
ATQCUS3931,June,Health & Wellness,Credit Card,1166
ATQCUS2666,September,Others,Credit Card,320
ATQCUS1495,May,Travel,Debit Card,273
ATQCUS3950,August,Travel,Credit Card,1529
ATQCUS1678,August,Electronics,UPI,2041
ATQCUS2193,October,Travel,Credit Card,286
ATQCUS0300,September,Apparel,Net Banking,103
ATQCUS2845,June,Apparel,UPI,338
ATQCUS0278,October,Apparel,UPI,117
ATQCUS1596,October,Food,Net Banking,206
ATQCUS1544,October,Travel,Net Banking,425
ATQCUS0619,July,Health & Wellness,Net Banking,170
ATQCUS3317,June,Electronics,Credit Card,777
ATQCUS3648,July,Travel,Debit Card,709
ATQCUS1960,May,Entertainment,UPI,117
ATQCUS3614,May,Others,UPI,78
ATQCUS2905,May,Bills,Debit Card,344
ATQCUS0158,September,Electronics,UPI,954
ATQCUS1475,August,Groceries,Credit Card,2174
ATQCUS2701,June,Groceries,Net Banking,330
ATQCUS3457,October,Entertainment,Debit Card,73
ATQCUS0012,August,Food,Net Banking,68
ATQCUS1854,August,Bills,Debit Card,1690
ATQCUS3328,August,Bills,Credit Card,3707
ATQCUS1949,May,Health & Wellness,Net Banking,106
ATQCUS0664,May,Apparel,Net Banking,178
ATQCUS1607,May,Apparel,UPI,198
ATQCUS2115,October,Bills,Debit Card,1735
ATQCUS3537,September,Electronics,UPI,797
ATQCUS2643,May,Groceries,Credit Card,1026
ATQCUS2504,July,Electronics,Debit Card,1344
ATQCUS0455,June,Entertainment,Net Banking,85
ATQCUS2261,June,Others,Credit Card,197
ATQCUS1950,June,Food,Credit Card,882
ATQCUS2476,August,Entertainment,Credit Card,2823
ATQCUS1081,September,Health & Wellness,Credit Card,1334
ATQCUS1668,October,Travel,UPI,298
ATQCUS0064,May,Apparel,UPI,34
ATQCUS0019,June,Entertainment,Credit Card,419
ATQCUS1039,September,Food,Credit Card,407
ATQCUS2799,June,Food,Net Banking,211
ATQCUS3395,August,Food,UPI,1054
ATQCUS0218,June,Travel,Debit Card,582
ATQCUS0668,October,Others,Net Banking,29
ATQCUS3331,October,Entertainment,Credit Card,579
ATQCUS2708,September,Apparel,Credit Card,981
ATQCUS3870,May,Health & Wellness,Debit Card,215
ATQCUS1323,May,Others,Net Banking,41
ATQCUS1763,August,Groceries,UPI,3012
ATQCUS3682,May,Electronics,Debit Card,388
ATQCUS2035,May,Others,UPI,208
ATQCUS1473,July,Others,Credit Card,263
ATQCUS0945,August,Health & Wellness,Credit Card,314
ATQCUS1083,August,Bills,Debit Card,2235
ATQCUS3798,May,Others,Credit Card,302
ATQCUS2496,May,Apparel,Debit Card,176
ATQCUS2653,August,Groceries,UPI,2321
ATQCUS2418,July,Apparel,Credit Card,636
ATQCUS3878,October,Groceries,Net Banking,236
ATQCUS1466,August,Electronics,UPI,1301
ATQCUS0113,September,Food,Debit Card,488
ATQCUS3420,June,Electronics,UPI,320
ATQCUS0539,July,Bills,Net Banking,333
ATQCUS3927,June,Groceries,Credit Card,702
ATQCUS0891,October,Health & Wellness,Net Banking,220
ATQCUS0652,July,Electronics,Credit Card,335
ATQCUS0468,July,Electronics,UPI,428
ATQCUS0860,May,Health & Wellness,UPI,851
ATQCUS1819,July,Groceries,Credit Card,1644
ATQCUS0502,October,Electronics,Net Banking,214
ATQCUS3819,June,Others,UPI,115
ATQCUS0162,October,Apparel,Debit Card,626
ATQCUS0686,August,Entertainment,Debit Card,132
ATQCUS2884,June,Apparel,Credit Card,686
ATQCUS0678,July,Health & Wellness,UPI,303
ATQCUS2801,October,Electronics,Credit Card,612
ATQCUS2636,June,Groceries,Net Banking,29
ATQCUS3269,September,Food,Net Banking,120
ATQCUS3108,June,Electronics,Debit Card,356
ATQCUS1588,October,Travel,Net Banking,98
ATQCUS0365,July,Apparel,Net Banking,63
ATQCUS3638,October,Apparel,Credit Card,803
ATQCUS1895,July,Entertainment,Debit Card,668
ATQCUS2648,July,Food,Debit Card,318
ATQCUS0031,August,Health & Wellness,Credit Card,285
ATQCUS0642,September,Others,Debit Card,249
ATQCUS0881,October,Food,UPI,357
ATQCUS0509,July,Apparel,Debit Card,185
ATQCUS3626,August,Entertainment,Debit Card,185
ATQCUS3588,June,Apparel,Credit Card,1744
ATQCUS2511,July,Travel,Debit Card,849
ATQCUS2163,September,Health & Wellness,UPI,779
ATQCUS1174,October,Apparel,Net Banking,49
ATQCUS0013,May,Others,Credit Card,126
ATQCUS0054,June,Others,UPI,92
ATQCUS3995,July,Travel,UPI,461
ATQCUS0288,May,Bills,Debit Card,1131
ATQCUS1711,July,Bills,Credit Card,271
ATQCUS1809,October,Bills,Credit Card,718
ATQCUS0028,June,Entertainment,UPI,355
ATQCUS3071,August,Others,Credit Card,337
ATQCUS3152,May,Electronics,Net Banking,144
ATQCUS1576,May,Groceries,Net Banking,266
ATQCUS0084,October,Apparel,Credit Card,156
ATQCUS3318,June,Travel,Debit Card,834
ATQCUS1643,August,Others,Debit Card,126
ATQCUS1283,August,Food,Debit Card,840
ATQCUS0034,July,Electronics,Net Banking,400
ATQCUS3429,July,Health & Wellness,Credit Card,298
ATQCUS1946,July,Electronics,UPI,627
ATQCUS3858,August,Apparel,Debit Card,136
ATQCUS0803,June,Others,Debit Card,52
ATQCUS0529,September,Travel,UPI,499
ATQCUS1717,September,Apparel,Debit Card,275
ATQCUS1139,July,Apparel,Debit Card,283
ATQCUS2286,June,Apparel,Net Banking,56
ATQCUS0128,July,Food,UPI,1419
ATQCUS0336,October,Bills,UPI,302
ATQCUS2006,July,Bills,Credit Card,1050
ATQCUS1076,June,Electronics,UPI,1366
ATQCUS1939,June,Apparel,Debit Card,282
ATQCUS2407,May,Groceries,Credit Card,1076
ATQCUS3356,June,Entertainment,UPI,126
ATQCUS3198,May,Health & Wellness,UPI,278
ATQCUS3050,June,Groceries,UPI,960
ATQCUS2994,October,Food,UPI,327
ATQCUS0738,May,Electronics,Debit Card,672
ATQCUS3923,October,Others,Net Banking,34
ATQCUS0697,May,Food,Net Banking,86
ATQCUS3089,August,Groceries,Debit Card,818
ATQCUS3496,June,Health & Wellness,Net Banking,134
ATQCUS1776,May,Food,Net Banking,119
ATQCUS1835,May,Electronics,Debit Card,812
ATQCUS0612,September,Others,Debit Card,114
ATQCUS2605,July,Apparel,UPI,329
ATQCUS1709,September,Travel,Credit Card,896
ATQCUS0635,June,Groceries,UPI,231
ATQCUS1266,May,Bills,UPI,493
ATQCUS0545,September,Bills,UPI,2384
ATQCUS3653,May,Food,Debit Card,219
ATQCUS1246,June,Bills,Net Banking,527
ATQCUS1546,October,Bills,Net Banking,404
ATQCUS0276,July,Food,UPI,350
ATQCUS0254,June,Food,Net Banking,244
ATQCUS3183,October,Groceries,Credit Card,2740
ATQCUS3248,July,Others,Debit Card,208
ATQCUS0831,September,Apparel,Net Banking,244
ATQCUS1963,August,Travel,Net Banking,412
ATQCUS3256,August,Others,Net Banking,29
ATQCUS0395,May,Others,UPI,90
ATQCUS1540,August,Entertainment,Debit Card,1110
ATQCUS2621,May,Entertainment,Net Banking,128
ATQCUS3775,July,Food,Net Banking,294
ATQCUS0848,July,Apparel,Debit Card,37
ATQCUS3298,June,Groceries,Net Banking,206
ATQCUS0063,June,Health & Wellness,Credit Card,355
ATQCUS3873,September,Entertainment,Net Banking,149
ATQCUS0563,September,Apparel,Debit Card,94
ATQCUS0090,September,Entertainment,Net Banking,250
ATQCUS3701,May,Bills,Credit Card,1350
ATQCUS2769,May,Apparel,Credit Card,163
ATQCUS2814,June,Bills,Net Banking,485
ATQCUS3664,September,Apparel,Debit Card,202
ATQCUS1734,October,Others,UPI,105
ATQCUS0556,July,Apparel,UPI,98
ATQCUS0914,July,Electronics,Net Banking,297
ATQCUS1160,September,Bills,Net Banking,533
ATQCUS0333,October,Travel,Credit Card,1642
ATQCUS3659,October,Others,Credit Card,344
ATQCUS0022,August,Entertainment,Credit Card,800
ATQCUS1923,October,Health & Wellness,Net Banking,77
ATQCUS1164,August,Travel,Credit Card,1549
ATQCUS2331,August,Apparel,Credit Card,546
ATQCUS1293,August,Health & Wellness,UPI,206
ATQCUS1971,August,Others,Debit Card,153
ATQCUS2132,June,Apparel,Net Banking,172
ATQCUS1774,October,Travel,Debit Card,299
ATQCUS3226,August,Groceries,Debit Card,1279
ATQCUS1891,August,Groceries,Credit Card,2120
ATQCUS1586,July,Food,Credit Card,464
ATQCUS0074,October,Others,Credit Card,92
ATQCUS1094,August,Health & Wellness,Debit Card,266
ATQCUS0675,August,Health & Wellness,Debit Card,264
ATQCUS2078,June,Electronics,UPI,1469
ATQCUS2170,May,Health & Wellness,Debit Card,387
ATQCUS3640,September,Others,Debit Card,86
ATQCUS2985,July,Food,Debit Card,452
ATQCUS3550,October,Others,Debit Card,130
ATQCUS1028,May,Apparel,Net Banking,136
ATQCUS3348,October,Apparel,Net Banking,168
ATQCUS2940,September,Groceries,Debit Card,1314
ATQCUS3271,August,Travel,Debit Card,868
ATQCUS1840,July,Entertainment,UPI,260
ATQCUS2477,August,Bills,Net Banking,313
ATQCUS2771,September,Food,Credit Card,1527
ATQCUS2308,July,Groceries,UPI,1346
ATQCUS0607,September,Groceries,Credit Card,3912
ATQCUS0206,May,Travel,Net Banking,216
ATQCUS3688,May,Others,Net Banking,40
ATQCUS3492,August,Travel,Net Banking,105
ATQCUS2055,October,Bills,UPI,545
ATQCUS2000,October,Health & Wellness,UPI,791
ATQCUS2120,October,Bills,Credit Card,889
ATQCUS1331,October,Bills,UPI,1077
ATQCUS2240,May,Electronics,Debit Card,311
ATQCUS2766,October,Health & Wellness,Debit Card,611
ATQCUS1284,July,Travel,UPI,308
ATQCUS3153,May,Bills,UPI,204
ATQCUS3222,June,Apparel,Debit Card,189
ATQCUS2649,July,Entertainment,Credit Card,498
ATQCUS0636,July,Health & Wellness,Debit Card,315
ATQCUS1406,May,Travel,Debit Card,561
ATQCUS3942,May,Food,Net Banking,49
ATQCUS2281,September,Others,Credit Card,62
ATQCUS2043,August,Bills,Net Banking,260
ATQCUS1615,May,Health & Wellness,UPI,182
ATQCUS2465,May,Groceries,Debit Card,348
ATQCUS3073,June,Apparel,Debit Card,121
ATQCUS2532,October,Groceries,UPI,1198
ATQCUS2866,July,Electronics,Credit Card,819
ATQCUS1033,October,Apparel,Debit Card,687
ATQCUS1858,May,Apparel,Credit Card,372
ATQCUS3511,May,Health & Wellness,UPI,183
ATQCUS0362,August,Health & Wellness,UPI,1111
ATQCUS1907,October,Bills,UPI,915
ATQCUS0050,June,Groceries,Debit Card,368
ATQCUS1010,June,Food,Net Banking,78
ATQCUS3086,June,Travel,Net Banking,119
ATQCUS0755,October,Health & Wellness,Net Banking,192
ATQCUS0099,May,Apparel,Credit Card,132
ATQCUS3423,May,Health & Wellness,UPI,197
ATQCUS1969,June,Health & Wellness,Debit Card,279
ATQCUS0594,May,Bills,Credit Card,1354
ATQCUS0806,June,Groceries,Net Banking,117
ATQCUS1013,August,Bills,Net Banking,441
ATQCUS3655,September,Food,Debit Card,263
ATQCUS0917,September,Bills,Net Banking,287
ATQCUS3390,October,Apparel,UPI,178
ATQCUS3024,May,Travel,Net Banking,96
ATQCUS3960,June,Apparel,Debit Card,365
ATQCUS3422,October,Apparel,UPI,633
ATQCUS2125,June,Groceries,Credit Card,2040
ATQCUS0311,June,Food,UPI,401
ATQCUS1184,July,Health & Wellness,Net Banking,258
ATQCUS3948,May,Electronics,Debit Card,372
ATQCUS3683,May,Others,Credit Card,265
ATQCUS0616,July,Bills,Debit Card,546
ATQCUS0621,October,Health & Wellness,Credit Card,531
ATQCUS0264,September,Travel,Net Banking,299
ATQCUS0068,October,Apparel,Net Banking,375
ATQCUS1690,May,Health & Wellness,UPI,661
ATQCUS3369,September,Travel,UPI,1031
